Name,Pass_Efficiency_Score,Rush_Efficiency_Score,Experience_Score,Measurables_Score,Cluster,Round,size
Jameis Winston,1.683182734356718,-0.2680957610287532,-0.7785056936747189,0.46369083936509303,Group 4,1,1.118033988749895
Rohan Davey,0.8263904242604154,0.022050193498276166,-1.7595502370378615,-0.285962511407793,Group 4,4,0.5590169943749475
Marcus Mariota,2.2899517509426284,0.7679621793852046,0.6642420133534375,0.9333401344975564,Group 4,1,1.118033988749895
Brandon Doman,0.8845282566482496,0.8887604196510109,-1.081575606101698,-0.402057893226002,Group 4,5,0.5
David Fales,1.5665106447208175,-1.0673254829550038,-0.7743395125091338,-1.200472495556019,Group 4,6,0.4564354645876384
Zach Mettenberger,0.6227545592528027,-1.2003886427479398,-1.4819892080355106,0.3042932141233451,Group 4,6,0.4564354645876384
Bryce Petty,1.8774669382082436,0.12649157539544667,-0.5944917379170633,0.37589974373062796,Group 4,4,0.5590169943749475
Chad Pennington,1.2770461026127096,-0.8508893287567683,0.20583249509542312,0.12462357009291923,Group 4,1,1.118033988749895
Andrew Luck,1.6494949397455,0.13685060084948694,-0.09234738153529883,0.7961457479427958,Group 4,1,1.118033988749895
Teddy Bridgewater,1.2494353800202023,-0.14239628513634095,0.17754760146565252,-0.7853928625085681,Group 4,1,1.118033988749895
Josh Johnson,2.6357313839856644,0.7255408671254311,0.43509069275837153,0.24922984016626012,Group 4,5,0.5
Mark Sanchez,1.0148212950573052,-0.18104964232543921,-1.5851587366317934,-0.5167652196146038,Group 4,1,1.118033988749895
Nate Davis,0.5359026139435634,-0.0013660056862319526,-0.0063243888996898,-0.44806498848051773,Group 4,5,0.5
Brian Brohm,1.2998182407955026,-0.5631474124718733,-0.03543056895648618,-0.09343353950124103,Group 4,2,0.7905694150420948
Sam Bradford,2.553460341891304,-1.092521472510376,-0.9479925264700644,0.38127315806113604,Group 4,1,1.118033988749895
Greg McElroy,1.121723276844264,-0.20138840358003687,-1.0939030704452346,-0.5461394849662718,Group 4,7,0.4225771273642583
Ricky Stanzi,0.14282773272216978,-0.3171256728796123,-0.6400558379635436,0.06680720140238855,Group 4,5,0.5
Matt Leinart,1.4109598058620891,-1.1777907967203656,-0.0890046540407603,0.4714846576187115,Group 4,1,1.118033988749895
Dan LeFevour,0.23809763721821378,0.9314682953623019,2.973423312423165,0.5425371646339743,Group 5,6,0.4564354645876384
Chandler Harnish,0.39743313927485807,1.452861409142387,1.2309350323384975,-0.04343425759968585,Group 5,7,0.4225771273642583
Bradlee Van Pelt,-0.7430404319116062,1.598958898192214,0.14497991581724345,-0.05815333277605029,Group 5,7,0.4225771273642583
Zac Robinson,0.5022622932103024,1.115022723701758,0.549536161733134,0.09462739147695588,Group 5,7,0.4225771273642583
Jake Locker,-1.4467362811156634,1.3561759759665586,1.0457963946870632,0.41495567859058863,Group 5,1,1.118033988749895
Donovan McNabb,1.105740938849698,1.2058881850665588,0.40771427842437713,-0.21312642742599597,Group 5,1,1.118033988749895
Tarvaris Jackson,-0.29173163676968433,0.9004675811036341,0.07778468451496795,-0.3624903369110675,Group 5,2,0.7905694150420948
